Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,tres,Rua Xavier De Toledo,-46.63611,-23.5475,D
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,cinco,Rua Crispiniano,-46.63611,-23.5475,F
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,seis,Avenida Sao Joao,-46.579899,-23.520551,G
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,sete,Avenida Ipiranga,-46.636499,-23.539693,H
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,oito,Rua Vinte E Quatrua De Maio,-46.63611,-23.5475,I
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,nove,Vieirua De Carvalho,-46.312424,-23.653426,J
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,dez,Largo Do Arouche,-46.63611,-23.5475,K
Vila Mariana,Associação Aprender e Crescer,2017-02-25T00:00:00Z,15:00,inicio,Rua da Uniao,-46.590476,-23.619915,A
Vila Mariana,Associação Aprender e Crescer,2017-02-25T00:00:00Z,15:00,um,rua Gaspar Lourenco,-46.633974,-23.582297,B
Vila Mariana,Associação Aprender e Crescer,2017-02-25T00:00:00Z,15:00,dois,rua Machado de Assis,-46.633881,-23.580439,C
Vila Mariana,Associação Aprender e Crescer,2017-02-25T00:00:00Z,15:00,tres,rua Guimaraes Passos.,-46.632814,-23.580351,D
Sé,"Associação Carnavalesca Bloco Acadêmicos do Baixo Augusta",2017-02-19T00:00:00Z,14:00,inicio,Av. Consolacao ,-46.63611,-23.5475,A
Sé,"Associação Carnavalesca Bloco Acadêmicos do Baixo Augusta",2017-02-19T00:00:00Z,14:00,um,Avenida Paulista,-46.644837,-23.570715,B
Sé,"Associação Carnavalesca Bloco Acadêmicos do Baixo Augusta",2017-02-19T00:00:00Z,14:00,dois,a Avenida Sao Luiz,-46.63611,-23.5475,C
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,inicio,Avenida Sao Luiz,-46.63611,-23.5475,A
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,um,Rua Xavier de Toledo,-46.63611,-23.5475,B
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,dois,Rua conselheirua Crispiniano,-46.63611,-23.5475,C
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,tres,Avenida Sao Joao,-46.579899,-23.520551,D
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,quatro,Avenida Ipiranga,-46.636499,-23.539693,E
Sé,Astrecão,2017-03-04T00:00:00Z,16:00,cinco,Avenida Sao Luiz,-46.63611,-23.5475,F
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,inicio,Rua Nicolau Gagliardi,-46.700259,-23.559956,A
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,inicio,Rua Nicolau Gagliardi,-46.700259,-23.559956,A
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,um,Ate a Travessa Domingos Assumpcao,-46.699696,-23.561049,B
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,um,Ate a Travessa Domingos Assumpcao,-46.699696,-23.561049,B
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,dois,virua a Rua Costa Carvalho,-46.699168,-23.562581,C
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,dois,virua a Rua Costa Carvalho,-46.699168,-23.562581,C
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,quatro,a Rua Vupabussu,-46.696573,-23.55983,E
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,quatro,a Rua Vupabussu,-46.696573,-23.55983,E
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,seis,a Padrua Carvalho,-46.330955,-23.669481,G
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,seis,a Padrua Carvalho,-46.330955,-23.669481,G
Pinheiros,Baco do Parangolé,2017-02-19T00:00:00Z,13:00,oito,a Rua Tucambira,-46.696767,-23.563875,I
Pinheiros,Baco do Parangolé,2017-02-26T00:00:00Z,13:00,oito,a Rua Tucambira,-46.696767,-23.563875,I
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,dois,Av. Vital Brasil,-46.63611,-23.5475,C
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,tres,Rua Estevao Lopes,-46.710427,-23.569717,D
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,quatro,Rua Gaspar Moreira,-46.708847,-23.564046,E
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,cinco,Praca Monte Castelo,-46.707801,-23.569756,F
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,oito,Av. Waldemar Ferreirua  Desembargador Armando Fairbanks,-46.63611,-23.5475,I
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,nove,Av. Vital Brasil,-46.63611,-23.5475,J
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,dez,Rua Catequese,-46.70717,-23.570344,K
Butantã,"BANDA BANTANTÃ FOLIA E FESTADE RUA",2017-02-17T00:00:00Z,18:00,onze,Rua Pirajucarua Av. Waldemar Ferreirua Desembargador Armando Fairbanks.,-46.63611,-23.5475,L
Pinheiros,"Banda Carnavalesca Macaco Cansado",2017-03-04T00:00:00Z,14:00,dois,Girasol,-46.2615,-23.466085,C
Butantã,Banda Deco,2017-02-19T00:00:00Z,12:00,um,rua joão casagrande,-46.744623,-23.577276,B
Butantã,Banda Deco,2017-02-19T00:00:00Z,12:00,dois,rua otacilio tomanik,-46.63611,-23.5475,C
Butantã,Banda Deco,2017-02-19T00:00:00Z,12:00,tres,praça isai lener,-46.742104,-23.576627,D
Butantã,Banda Deco,2017-02-19T00:00:00Z,12:00,quatro,av. eiras garcia,-46.63611,-23.5475,E
Sé,Banda do Trem Elétrico,2017-02-24T00:00:00Z,20:00,inicio,Rua Augusta,-46.651746,-23.551776,A
Sé,Banda do Trem Elétrico,2017-02-24T00:00:00Z,20:00,um,Martins Fontes,-46.041349,-23.586619,B
Sé,Banda do Trem Elétrico,2017-02-24T00:00:00Z,20:00,dois,Xavier de Toledo,-46.63611,-23.5475,C
Sé,Banda do Trem Elétrico,2017-02-24T00:00:00Z,20:00,tres,Praca Ramos de Azevedo,-46.412913,-23.719563,D
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,inicio,Largo do Arouche,-46.63611,-23.5475,A
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,um,Rua Vieirua de Carvalho,-46.63611,-23.5475,B
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,tres,Avenida Sao Luis,-46.309498,-23.538439,D
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,quatro,Rua Xavier de Toledo,-46.63611,-23.5475,E
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,cinco,Praca Ramos de Azevedo,-46.412913,-23.719563,F
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,seis,Rua Conselheirua Crispiniano,-46.63611,-23.5475,G
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,sete,Largo do Paissandu,-46.63611,-23.5475,H
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,oito,Avenida Sao Joao,-46.579899,-23.520551,I
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,nove,Avenida Ipiranga,-46.636499,-23.539693,J
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,dez,Rua da Consolacao,-46.642012,-23.547833,K
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,onze,Rua Rego Freitas,-46.646625,-23.545229,L
Sé,Banda Fuxico,2017-02-19T00:00:00Z,18:00,doze,Largo do Arouche,-46.63611,-23.5475,M
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,inicio,Largo do Paissandu,-46.63611,-23.5475,A
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,um,Av. Sao Joao (ate a ,-46.63611,-23.5475,B
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,dois,a R. General Osorio),-46.63611,-23.5475,C
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,quatro,Prua Republica,-46.642597,-23.544079,E
