GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US30860,30860,"Logan, UT-ID Metro Area",25118,23464
310M200US30980,30980,"Longview, TX Metro Area",15644,2386
310M200US31020,31020,"Longview, WA Metro Area",26936,16379
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",26846,1058
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",21206,1519
310M200US31180,31180,"Lubbock, TX Metro Area",15816,2439
310M200US31340,31340,"Lynchburg, VA Metro Area",18464,2624
310M200US31420,31420,"Macon, GA Metro Area",16662,2107
310M200US31460,31460,"Madera, CA Metro Area",18410,6369
310M200US31540,31540,"Madison, WI Metro Area",16612,1902
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",14846,4458
310M200US31740,31740,"Manhattan, KS Metro Area",22318,11472
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",9376,3593
310M200US31900,31900,"Mansfield, OH Metro Area",11309,2271
310M200US32420,32420,"Mayagüez, PR Metro Area",17881,14938
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",15936,5762
310M200US32780,32780,"Medford, OR Metro Area",21619,7005
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",17975,592
310M200US32900,32900,"Merced, CA Metro Area",13879,2737
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",17359,449
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",9051,1882
310M200US33260,33260,"Midland, TX Metro Area",30691,6893
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",15787,841
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",17436,1275
310M200US33540,33540,"Missoula, MT Metro Area",9115,6180
310M200US33660,33660,"Mobile, AL Metro Area",16058,855
310M200US33700,33700,"Modesto, CA Metro Area",23883,4462
310M200US33740,33740,"Monroe, LA Metro Area",12429,1261
310M200US33780,33780,"Monroe, MI Metro Area",18810,7640
310M200US33860,33860,"Montgomery, AL Metro Area",17671,1388
310M200US34060,34060,"Morgantown, WV Metro Area",10565,6226
310M200US34100,34100,"Morristown, TN Metro Area",16644,5645
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",13729,9312
310M200US34620,34620,"Muncie, IN Metro Area",14648,3642
310M200US34740,34740,"Muskegon, MI Metro Area",13219,2237
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",13713,1123
310M200US34900,34900,"Napa, CA Metro Area",17762,4455
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",18393,10715
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",20767,920
310M200US35100,35100,"New Bern, NC Metro Area",16343,2345
310M200US35300,35300,"New Haven-Milford, CT Metro Area",21748,1923
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",17934,634
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",24233,398
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",13818,1673
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",15992,1637
310M200US35980,35980,"Norwich-New London, CT Metro Area",22353,3787
310M200US36100,36100,"Ocala, FL Metro Area",13566,2746
310M200US36140,36140,"Ocean City, NJ Metro Area",14554,5087
310M200US36220,36220,"Odessa, TX Metro Area",28000,8147
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",18019,6296
310M200US36420,36420,"Oklahoma City, OK Metro Area",19300,1300
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",27161,7361
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",17776,1297
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",18680,1468
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",8444,2762
310M200US36980,36980,"Owensboro, KY Metro Area",14689,4172
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",37650,5582
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",18168,2307
310M200US37460,37460,"Panama City, FL Metro Area",14276,1841
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",8539,4408
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",17418,1419
310M200US37900,37900,"Peoria, IL Metro Area",20107,7086
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",20865,416
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",21822,1347
310M200US38220,38220,"Pine Bluff, AR Metro Area",13830,1248
310M200US38300,38300,"Pittsburgh, PA Metro Area",18325,1198
310M200US38340,38340,"Pittsfield, MA Metro Area",11757,4149
310M200US38540,38540,"Pocatello, ID Metro Area",7199,3261
310M200US38660,38660,"Ponce, PR Metro Area",10451,2277
310M200US38860,38860,"Portland-South Portland, ME Metro Area",13336,3588
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",22014,2712
310M200US38940,38940,"Port St. Lucie, FL Metro Area",14117,1845
310M200US39140,39140,"Prescott, AZ Metro Area",29639,17014
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",23331,2914
310M200US39340,39340,"Provo-Orem, UT Metro Area",19070,10027
310M200US39380,39380,"Pueblo, CO Metro Area",17802,8230
310M200US39460,39460,"Punta Gorda, FL Metro Area",17855,4157
310M200US39540,39540,"Racine, WI Metro Area",14086,2054
310M200US39580,39580,"Raleigh, NC Metro Area",20875,931
310M200US39660,39660,"Rapid City, SD Metro Area",7891,3444
310M200US39740,39740,"Reading, PA Metro Area",16861,4016
310M200US39820,39820,"Redding, CA Metro Area",28253,19039
310M200US39900,39900,"Reno, NV Metro Area",25925,7086
310M200US40060,40060,"Richmond, VA Metro Area",22153,790
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",23085,1531
310M200US40220,40220,"Roanoke, VA Metro Area",17076,1658
310M200US40340,40340,"Rochester, MN Metro Area",12155,4101
310M200US40380,40380,"Rochester, NY Metro Area",15125,839
310M200US40420,40420,"Rockford, IL Metro Area",16779,1913
310M200US40580,40580,"Rocky Mount, NC Metro Area",15621,1320
310M200US40660,40660,"Rome, GA Metro Area",13734,2584
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",21840,1262
310M200US40980,40980,"Saginaw, MI Metro Area",14640,2349
310M200US41060,41060,"St. Cloud, MN Metro Area",10076,2814
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",14679,4015
310M200US41180,41180,"St. Louis, MO-IL Metro Area",18587,667
310M200US41420,41420,"Salem, OR Metro Area",19827,7387
310M200US41500,41500,"Salinas, CA Metro Area",17792,3660
310M200US41540,41540,"Salisbury, MD-DE Metro Area",17779,1432
310M200US41620,41620,"Salt Lake City, UT Metro Area",19197,3215
310M200US41660,41660,"San Angelo, TX Metro Area",15814,4193
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",25480,1761
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",26386,1577
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",30578,2044
310M200US41900,41900,"San Germán, PR Metro Area",10090,2314
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",37677,5379
310M200US41980,41980,"San Juan-Carolina-Caguas, PR Metro Area",12337,1108
310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",21405,11157
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",28468,19086
310M200US42140,42140,"Santa Fe, NM Metro Area",46859,39091
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",22425,3486
310M200US42220,42220,"Santa Rosa, CA Metro Area",25142,7143
310M200US42340,42340,"Savannah, GA Metro Area",19198,1885
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",9376,1456
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",24797,1426
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",13913,4674
310M200US42700,42700,"Sebring, FL Metro Area",11842,2924
310M200US43100,43100,"Sheboygan, WI Metro Area",17034,9345
310M200US43300,43300,"Sherman-Denison, TX Metro Area",11439,3227
310M200US43340,43340,"Shreveport-Bossier City, LA Metro Area",15673,1083
310M200US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",33100,9020
310M200US43580,43580,"Sioux City, IA-NE-SD Metro Area",10516,3895
310M200US43620,43620,"Sioux Falls, SD Metro Area",11060,3637
310M200US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",15700,1959
310M200US43900,43900,"Spartanburg, SC Metro Area",16234,1244
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",18387,5605
310M200US44100,44100,"Springfield, IL Metro Area",20679,3143
310M200US44140,44140,"Springfield, MA Metro Area",19295,2142
310M200US44180,44180,"Springfield, MO Metro Area",10387,2381
310M200US44220,44220,"Springfield, OH Metro Area",15850,2675
310M200US44300,44300,"State College, PA Metro Area",18653,6418
310M200US44420,44420,"Staunton-Waynesboro, VA Metro Area",13752,3099
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",20017,2123
310M200US44940,44940,"Sumter, SC Metro Area",16371,1154
310M200US45060,45060,"Syracuse, NY Metro Area",18360,2655
310M200US45220,45220,"Tallahassee, FL Metro Area",15126,964
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",18627,912
310M200US45460,45460,"Terre Haute, IN Metro Area",11457,4140
310M200US45500,45500,"Texarkana, TX-AR Metro Area",16021,1828
310M200US45540,45540,"The Villages, FL Metro Area",8752,3322
310M200US45780,45780,"Toledo, OH Metro Area",15141,1342
310M200US45820,45820,"Topeka, KS Metro Area",19521,3236
